Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume EUR,tradecount
1710806400000,2024-03-19,SOLEUR,180.41,182.76,152.71,156.45,71520.2,11835710.798,35737
1710720000000,2024-03-18,SOLEUR,185.72,192.91,178.35,180.0,42688.88,7954258.5544,18674
1710633600000,2024-03-17,SOLEUR,167.45,188.23,164.09,185.71,45044.74,7926429.9627,20587
1710547200000,2024-03-16,SOLEUR,169.25,182.06,162.77,167.66,61826.27,10725696.7609,22579
1710460800000,2024-03-15,SOLEUR,162.64,173.73,151.01,169.24,82549.63,13488954.438,33144
1710374400000,2024-03-14,SOLEUR,149.88,164.0,146.31,162.27,61308.57,9479836.426,25224
1710288000000,2024-03-13,SOLEUR,138.31,152.49,136.05,149.66,49257.63,7017719.721,21604
1710201600000,2024-03-12,SOLEUR,134.97,140.1,129.8,138.4,56361.86,7717163.5234,31843
1710115200000,2024-03-11,SOLEUR,132.15,137.33,125.09,134.91,42284.16,5645187.8574,25076
1710028800000,2024-03-10,SOLEUR,132.22,135.96,128.45,132.11,27851.55,3691697.8478,12765
1709942400000,2024-03-09,SOLEUR,132.71,136.68,131.58,132.17,16715.47,2240209.0841,9605
1709856000000,2024-03-08,SOLEUR,131.61,139.49,130.0,132.71,43245.91,5807439.8252,20582
1709769600000,2024-03-07,SOLEUR,120.17,136.9,119.98,131.68,61904.71,8055614.8507,30265
1709683200000,2024-03-06,SOLEUR,115.65,124.28,110.79,120.01,48697.02,5779685.8472,17123
1709596800000,2024-03-05,SOLEUR,122.78,131.41,96.02,115.78,92502.78,11047986.6901,23263
1709510400000,2024-03-04,SOLEUR,120.32,124.44,117.5,122.79,45884.66,5537487.9948,12854
1709424000000,2024-03-03,SOLEUR,120.0,121.88,115.0,120.17,27455.45,3275544.094,7772
1709337600000,2024-03-02,SOLEUR,119.4,121.5,117.49,120.1,27734.4,3304515.075,7999
1709251200000,2024-03-01,SOLEUR,115.59,127.13,115.57,119.26,43731.32,5364309.8636,15093
1709164800000,2024-02-29,SOLEUR,109.73,124.16,108.2,115.46,91125.91,10647540.2846,23504
1709078400000,2024-02-28,SOLEUR,100.02,109.75,98.24,109.73,92160.86,9571288.8392,20269
1708992000000,2024-02-27,SOLEUR,101.22,103.46,97.21,99.94,31484.26,3178468.0264,9924
1708905600000,2024-02-26,SOLEUR,95.46,102.09,92.5,101.21,34099.79,3330897.6228,10436
1708819200000,2024-02-25,SOLEUR,96.11,96.44,94.31,95.65,13512.29,1288536.8026,4761
1708732800000,2024-02-24,SOLEUR,92.38,96.87,91.07,96.11,17916.83,1698376.0528,6255
1708646400000,2024-02-23,SOLEUR,94.05,95.31,91.3,92.35,23574.71,2210638.4525,7881
1708560000000,2024-02-22,SOLEUR,97.19,98.74,93.88,94.08,31881.93,3077822.8943,10018
1708473600000,2024-02-21,SOLEUR,100.19,100.34,92.85,97.17,32876.53,3153634.696,10814
1708387200000,2024-02-20,SOLEUR,103.67,104.05,95.7,100.27,42913.48,4294424.5515,13959
1708300800000,2024-02-19,SOLEUR,104.19,106.78,102.95,103.56,27432.75,2869701.2025,8690
1708214400000,2024-02-18,SOLEUR,101.15,106.0,99.9,104.13,21145.64,2189914.945,7570
1708128000000,2024-02-17,SOLEUR,102.43,103.15,98.03,101.18,21640.28,2175713.4417,7008
1708041600000,2024-02-16,SOLEUR,105.59,106.22,100.44,102.53,28611.59,2941519.1528,11254
1707955200000,2024-02-15,SOLEUR,109.2,110.37,103.72,105.5,27095.74,2903547.6229,11294
1707868800000,2024-02-14,SOLEUR,105.04,110.88,103.38,109.24,38116.65,4114768.8119,13618
1707782400000,2024-02-13,SOLEUR,103.6,106.92,101.08,105.06,36554.16,3824731.6258,12480
1707696000000,2024-02-12,SOLEUR,99.28,104.0,96.01,103.48,33931.4,3387930.0108,11620
1707609600000,2024-02-11,SOLEUR,100.9,102.01,98.86,99.27,25806.61,2594843.0216,7582
1707523200000,2024-02-10,SOLEUR,99.13,102.73,99.06,100.99,33806.15,3405786.7495,9585
1707436800000,2024-02-09,SOLEUR,95.45,101.15,95.45,99.14,42999.19,4218023.7466,11875
1707350400000,2024-02-08,SOLEUR,93.88,97.62,93.11,95.43,32370.38,3083539.8914,9345
1707264000000,2024-02-07,SOLEUR,90.03,94.22,88.0,93.74,23528.89,2136580.4489,6486
1707177600000,2024-02-06,SOLEUR,88.98,90.99,86.7,90.03,21432.79,1905002.8981,6777
1707091200000,2024-02-05,SOLEUR,88.65,91.79,87.5,89.04,21312.8,1908982.0124,5707
1707004800000,2024-02-04,SOLEUR,90.72,91.4,88.13,88.62,12823.55,1152611.0456,3765
1706918400000,2024-02-03,SOLEUR,93.27,93.75,89.52,90.85,11067.87,1011432.9131,3416
1706832000000,2024-02-02,SOLEUR,89.85,94.57,89.73,93.13,24806.29,2291020.4117,7676
1706745600000,2024-02-01,SOLEUR,89.75,90.41,86.11,90.01,30031.33,2655660.8061,9986
1706659200000,2024-01-31,SOLEUR,93.6,94.72,88.73,89.69,55727.73,5139708.4411,15896
1706572800000,2024-01-30,SOLEUR,94.07,98.36,93.26,93.55,52662.93,5060472.2922,13281
1706486400000,2024-01-29,SOLEUR,88.59,94.23,87.79,93.87,41285.33,3771873.1316,10782
1706400000000,2024-01-28,SOLEUR,87.07,91.86,86.1,88.57,39227.68,3493420.6213,9630
1706313600000,2024-01-27,SOLEUR,85.13,87.32,83.66,87.07,17321.85,1478820.7231,3972
1706227200000,2024-01-26,SOLEUR,80.1,86.33,79.45,85.13,34275.21,2860033.4165,8780
1706140800000,2024-01-25,SOLEUR,81.58,82.35,78.5,80.09,35918.9,2891385.279,8731
1706054400000,2024-01-24,SOLEUR,77.79,82.16,76.76,81.59,33638.27,2666593.3006,10079
1705968000000,2024-01-23,SOLEUR,77.05,78.88,72.61,77.72,45042.03,3394858.768,12839
1705881600000,2024-01-22,SOLEUR,83.6,84.27,75.38,77.12,43816.12,3495555.86,12575
1705795200000,2024-01-21,SOLEUR,85.29,86.32,83.45,83.67,14733.31,1253482.2035,4205
1705708800000,2024-01-20,SOLEUR,85.99,86.52,82.98,85.34,17560.75,1485818.9305,5578
1705622400000,2024-01-19,SOLEUR,86.72,87.84,80.02,85.88,37742.0,3205437.6769,10753
1705536000000,2024-01-18,SOLEUR,93.85,95.12,84.1,86.8,39184.62,3512898.6544,12596
1705449600000,2024-01-17,SOLEUR,89.9,94.6,88.97,93.84,43103.17,3981993.0735,12176
1705363200000,2024-01-16,SOLEUR,86.31,90.82,86.29,89.78,30562.59,2719609.8127,8242
1705276800000,2024-01-15,SOLEUR,85.9,88.47,85.15,86.34,23746.82,2065712.6391,8023
1705190400000,2024-01-14,SOLEUR,87.87,94.23,85.69,85.91,34140.92,3061354.076,9922
1705104000000,2024-01-13,SOLEUR,84.36,88.94,82.09,87.85,20674.41,1766805.0145,6536
1705017600000,2024-01-12,SOLEUR,91.11,91.6,80.0,84.37,39187.66,3413249.864,12796
1704931200000,2024-01-11,SOLEUR,93.17,98.0,89.3,91.08,45913.33,4266002.1292,17696
1704844800000,2024-01-10,SOLEUR,91.01,96.55,84.19,93.11,52528.57,4716173.6266,18935
1704758400000,2024-01-09,SOLEUR,89.53,96.77,87.12,91.01,51617.2,4729463.3163,17957
1704672000000,2024-01-08,SOLEUR,82.01,91.43,78.13,89.56,58769.46,5052288.5366,17957
1704585600000,2024-01-07,SOLEUR,86.04,88.89,80.51,82.04,31163.67,2663398.1573,10224
1704499200000,2024-01-06,SOLEUR,91.7,91.94,84.01,86.04,27373.02,2392329.2049,9506
1704412800000,2024-01-05,SOLEUR,96.14,96.56,87.34,91.69,39744.16,3647622.8072,13655
1704326400000,2024-01-04,SOLEUR,90.55,99.03,88.5,96.07,44695.13,4162207.2431,16152
1704240000000,2024-01-03,SOLEUR,97.73,100.46,79.0,90.59,76789.6,7056171.4885,31846
1704153600000,2024-01-02,SOLEUR,99.8,106.16,97.07,97.68,53950.38,5497087.8425,17433
1704067200000,2024-01-01,SOLEUR,92.46,99.8,92.28,99.8,37847.43,3643139.4387,11142
1703980800000,2023-12-31,SOLEUR,92.61,95.56,90.6,92.38,29737.76,2777633.8947,8042
1703894400000,2023-12-30,SOLEUR,96.54,97.61,91.56,92.64,25747.81,2418573.583,8402
1703808000000,2023-12-29,SOLEUR,92.31,99.67,89.84,96.52,56832.55,5448913.7246,20893
1703721600000,2023-12-28,SOLEUR,96.22,98.74,87.62,92.23,52881.2,4894033.5617,22326
1703635200000,2023-12-27,SOLEUR,102.04,104.47,94.11,96.21,56847.26,5646261.0487,20703
1703548800000,2023-12-26,SOLEUR,110.21,110.59,91.94,102.03,66953.62,6801871.7061,27332
1703462400000,2023-12-25,SOLEUR,103.0,115.63,98.97,110.05,66842.05,7194428.9722,33914
1703376000000,2023-12-24,SOLEUR,98.66,107.88,98.07,103.06,70734.03,7284617.1872,34609
1703289600000,2023-12-23,SOLEUR,89.18,100.47,84.54,98.57,50229.84,4584617.1818,21133
1703203200000,2023-12-22,SOLEUR,85.48,90.5,82.2,89.33,66105.7,5713508.6556,23283
1703116800000,2023-12-21,SOLEUR,75.18,87.0,74.12,85.32,77809.48,6269910.0388,24125
1703030400000,2023-12-20,SOLEUR,66.5,76.76,66.5,75.15,61956.09,4458131.7441,15705
1702944000000,2023-12-19,SOLEUR,68.14,69.76,65.44,66.6,32542.87,2210438.42,9073
1702857600000,2023-12-18,SOLEUR,65.02,69.06,61.23,68.09,36724.22,2368750.8228,10138
1702771200000,2023-12-17,SOLEUR,67.67,68.41,64.65,64.97,25554.66,1703388.8949,7207
1702684800000,2023-12-16,SOLEUR,66.62,70.82,65.53,67.63,29308.52,2000908.5202,8018
1702598400000,2023-12-15,SOLEUR,68.89,72.5,66.34,66.7,47967.1,3347497.0203,13482
1702512000000,2023-12-14,SOLEUR,65.16,69.37,62.7,68.83,37748.8,2506161.0806,10688
1702425600000,2023-12-13,SOLEUR,63.5,66.82,59.14,65.02,42506.48,2655402.7807,11600
1702339200000,2023-12-12,SOLEUR,65.31,67.25,61.0,63.44,32767.25,2113852.2825,11248
1702252800000,2023-12-11,SOLEUR,69.64,69.71,60.04,65.38,40470.4,2613408.5806,14758
1702166400000,2023-12-10,SOLEUR,67.38,69.63,65.79,69.61,25080.76,1701396.2583,10155
1702080000000,2023-12-09,SOLEUR,69.72,72.37,66.62,67.36,33769.92,2373453.3955,14185
1701993600000,2023-12-08,SOLEUR,62.9,70.06,62.84,69.73,71271.62,4750030.8777,22500
1701907200000,2023-12-07,SOLEUR,57.5,64.32,57.35,62.89,60885.63,3669414.0775,14084
1701820800000,2023-12-06,SOLEUR,56.6,61.84,56.6,57.55,66889.91,3961651.7714,14385
1701734400000,2023-12-05,SOLEUR,56.94,58.02,54.63,56.53,38953.66,2187945.2149,8641
1701648000000,2023-12-04,SOLEUR,57.88,60.03,55.1,56.93,47195.21,2716586.4857,11469
1701561600000,2023-12-03,SOLEUR,58.62,60.25,57.26,57.85,32147.1,1879513.7007,6859
1701475200000,2023-12-02,SOLEUR,54.94,58.77,54.89,58.64,34928.78,1997160.2106,6208
1701388800000,2023-12-01,SOLEUR,54.55,56.84,53.83,54.96,29505.24,1643636.7516,6456
1701302400000,2023-11-30,SOLEUR,54.1,56.5,53.6,54.43,26752.02,1470876.3101,6070
1701216000000,2023-11-29,SOLEUR,52.93,56.28,52.55,54.11,43708.06,2390941.5845,8282
1701129600000,2023-11-28,SOLEUR,50.29,53.43,49.28,52.89,26411.23,1361245.7888,6209
1701043200000,2023-11-27,SOLEUR,52.56,53.0,48.91,50.27,31220.27,1573798.3157,7450
1700956800000,2023-11-26,SOLEUR,53.65,53.83,51.12,52.55,21247.51,1115982.1881,4474
1700870400000,2023-11-25,SOLEUR,51.96,54.68,50.99,53.64,23577.54,1258708.7696,6092
1700784000000,2023-11-24,SOLEUR,51.85,53.91,51.57,51.97,28238.78,1490490.8918,7010
1700697600000,2023-11-23,SOLEUR,52.98,54.64,51.54,51.83,30254.15,1598992.5352,8285
1700611200000,2023-11-22,SOLEUR,47.3,54.17,47.2,52.87,41350.54,2107654.1405,10604
1700524800000,2023-11-21,SOLEUR,51.68,52.41,47.0,47.35,51515.24,2580849.0431,17343
1700438400000,2023-11-20,SOLEUR,56.09,56.24,51.3,51.71,45561.88,2457872.2442,11167
1700352000000,2023-11-19,SOLEUR,53.78,56.96,52.1,56.07,41899.96,2313540.5006,8784
1700265600000,2023-11-18,SOLEUR,53.76,54.57,50.18,53.77,30447.76,1608176.1139,6830
1700179200000,2023-11-17,SOLEUR,53.35,55.92,49.8,53.74,65583.04,3481526.8052,15029
1700092800000,2023-11-16,SOLEUR,60.39,62.98,52.04,53.49,72187.75,4191243.8362,17548
1700006400000,2023-11-15,SOLEUR,52.46,61.95,51.68,60.4,82198.32,4697672.7634,18356
1699920000000,2023-11-14,SOLEUR,48.27,53.72,47.8,52.31,76234.79,3880962.8553,16847
1699833600000,2023-11-13,SOLEUR,52.78,56.1,48.15,48.27,79848.05,4186079.7072,16318
1699747200000,2023-11-12,SOLEUR,52.86,58.07,51.18,52.91,73808.58,4015767.6288,16544
1699660800000,2023-11-11,SOLEUR,53.13,60.0,50.26,52.87,100453.62,5455526.1005,21439
1699574400000,2023-11-10,SOLEUR,42.5,53.98,42.31,53.17,90411.84,4329766.3089,20063
1699488000000,2023-11-09,SOLEUR,40.33,45.78,39.05,42.53,71934.71,3076772.9278,14126
1699401600000,2023-11-08,SOLEUR,40.16,41.13,39.56,40.29,24454.42,986813.4342,5313
1699315200000,2023-11-07,SOLEUR,39.35,41.85,37.5,40.21,43585.25,1734719.5215,7399
1699228800000,2023-11-06,SOLEUR,38.44,39.4,37.0,39.34,27182.55,1027783.5938,5548
1699142400000,2023-11-05,SOLEUR,39.62,40.03,37.52,38.41,23411.1,903303.3012,4971
1699056000000,2023-11-04,SOLEUR,36.84,39.93,36.49,39.64,42137.19,1628721.1073,8258
1698969600000,2023-11-03,SOLEUR,37.93,37.94,35.45,36.88,62007.67,2274527.5969,11410
1698883200000,2023-11-02,SOLEUR,38.96,41.97,36.48,37.93,79387.62,3110962.8997,15176
1698796800000,2023-11-01,SOLEUR,36.35,44.39,35.83,38.93,106423.89,4190034.2723,19437
1698710400000,2023-10-31,SOLEUR,32.99,36.55,32.88,36.32,38136.97,1312849.3319,6342
1698624000000,2023-10-30,SOLEUR,31.2,33.38,30.6,32.96,34205.28,1110842.4261,5642
1698537600000,2023-10-29,SOLEUR,30.01,31.46,29.76,31.13,20219.3,623427.0499,2938
1698451200000,2023-10-28,SOLEUR,30.02,30.79,29.79,30.0,16549.2,501672.9787,2526
1698364800000,2023-10-27,SOLEUR,31.12,31.58,29.58,30.04,28118.78,861432.7397,4749
1698278400000,2023-10-26,SOLEUR,30.74,31.57,29.21,31.04,30156.87,919890.9464,4796
1698192000000,2023-10-25,SOLEUR,28.49,32.06,28.33,30.75,36664.31,1118223.3035,6189
1698105600000,2023-10-24,SOLEUR,29.87,30.76,27.89,28.5,43138.84,1268928.0448,6483
1698019200000,2023-10-23,SOLEUR,27.41,30.74,27.11,29.9,49831.05,1415080.0672,7596
1697932800000,2023-10-22,SOLEUR,27.72,28.36,26.58,27.46,26803.44,732073.5751,3863
1697846400000,2023-10-21,SOLEUR,25.54,28.65,25.2,27.78,35770.13,973977.2473,5689
1697760000000,2023-10-20,SOLEUR,23.57,26.0,23.43,25.55,27701.47,697030.0764,4385
1697673600000,2023-10-19,SOLEUR,22.23,24.27,21.96,23.62,22933.35,533920.567,2938
1697587200000,2023-10-18,SOLEUR,22.69,23.09,22.2,22.25,14296.43,323329.2377,2072
1697500800000,2023-10-17,SOLEUR,22.72,23.33,22.26,22.67,20487.4,467571.2531,2895
1697414400000,2023-10-16,SOLEUR,20.89,23.52,20.88,22.72,30290.08,673406.9469,3786
1697328000000,2023-10-15,SOLEUR,20.96,21.09,20.65,20.85,7438.96,155105.5096,1286
1697241600000,2023-10-14,SOLEUR,20.8,21.25,20.77,20.98,9654.73,202668.9278,1492
1697155200000,2023-10-13,SOLEUR,20.21,21.12,20.04,20.82,11519.81,236596.3581,1817
1697068800000,2023-10-12,SOLEUR,20.71,20.72,19.86,20.22,13077.49,264024.8609,2045
1696982400000,2023-10-11,SOLEUR,20.87,21.14,20.44,20.73,10551.57,219548.5254,1632
1696896000000,2023-10-10,SOLEUR,20.89,21.23,20.49,20.84,9476.37,197898.4058,1585
1696809600000,2023-10-09,SOLEUR,21.99,22.18,20.52,20.91,16797.28,357714.793,2243
1696723200000,2023-10-08,SOLEUR,22.05,22.37,21.86,22.03,7506.13,166166.323,1258
1696636800000,2023-10-07,SOLEUR,22.12,22.88,21.86,22.03,11967.41,266903.3222,1786
1696550400000,2023-10-06,SOLEUR,21.54,22.47,21.54,22.16,19992.11,441029.2826,2883
1696464000000,2023-10-05,SOLEUR,22.02,22.61,21.42,21.52,18391.55,403460.6632,2511
1696377600000,2023-10-04,SOLEUR,22.57,22.7,21.51,22.03,21864.68,482581.7279,3329
1696291200000,2023-10-03,SOLEUR,22.31,23.65,22.22,22.53,28928.75,662709.4179,3981
1696204800000,2023-10-02,SOLEUR,22.62,23.42,21.89,22.3,34860.56,792776.5488,4908
1696118400000,2023-10-01,SOLEUR,20.24,23.21,20.03,22.56,51561.84,1129734.4515,5300
1696032000000,2023-09-30,SOLEUR,19.2,20.63,19.02,20.23,15034.12,299721.0948,2018
1695945600000,2023-09-29,SOLEUR,18.94,19.32,18.81,19.19,10293.46,196460.4617,1572
1695859200000,2023-09-28,SOLEUR,18.22,18.92,18.15,18.92,11174.95,205995.1577,1570
1695772800000,2023-09-27,SOLEUR,18.0,18.46,17.84,18.22,17157.11,310676.9416,2189
1695686400000,2023-09-26,SOLEUR,18.33,18.45,17.84,18.01,13828.91,251184.4168,1909
1695600000000,2023-09-25,SOLEUR,18.19,18.61,17.96,18.33,10539.58,193477.1307,1645
1695513600000,2023-09-24,SOLEUR,18.34,18.5,18.06,18.21,8320.73,152800.4856,1440
1695427200000,2023-09-23,SOLEUR,18.27,18.42,18.14,18.3,10336.91,189068.0594,1713
1695340800000,2023-09-22,SOLEUR,18.26,18.6,18.04,18.27,14289.31,262344.2489,2240
1695254400000,2023-09-21,SOLEUR,19.07,19.07,18.14,18.28,21145.47,391842.7211,2727
1695168000000,2023-09-20,SOLEUR,18.81,19.21,18.58,19.08,24808.88,469316.3139,3225
1695081600000,2023-09-19,SOLEUR,18.39,19.13,18.34,18.78,25479.9,477911.7028,3270
1694995200000,2023-09-18,SOLEUR,17.65,18.86,17.43,18.4,31088.89,570993.7957,3672
1694908800000,2023-09-17,SOLEUR,17.95,17.95,17.5,17.65,11365.91,201626.1812,1870
1694822400000,2023-09-16,SOLEUR,18.0,18.27,17.71,17.95,14777.23,265110.3297,1925
1694736000000,2023-09-15,SOLEUR,17.73,18.31,17.43,17.99,22855.39,408248.0008,2907
1694649600000,2023-09-14,SOLEUR,17.19,18.02,17.19,17.73,40127.69,710099.2232,4482
1694563200000,2023-09-13,SOLEUR,16.71,17.35,16.49,17.18,36369.69,616912.1334,4442
1694476800000,2023-09-12,SOLEUR,16.53,17.55,16.4,16.69,47485.31,802603.4014,4842
1694390400000,2023-09-11,SOLEUR,17.04,17.24,16.17,16.52,46985.73,780885.9725,5681
1694304000000,2023-09-10,SOLEUR,18.2,18.2,16.67,17.05,58298.13,1002278.6989,6942
1694217600000,2023-09-09,SOLEUR,18.37,18.37,18.15,18.2,10306.31,188236.5266,1763
1694131200000,2023-09-08,SOLEUR,18.66,18.96,18.14,18.36,17287.58,318216.193,2625
1694044800000,2023-09-07,SOLEUR,18.32,18.71,18.1,18.65,19962.62,366375.0849,2700
1693958400000,2023-09-06,SOLEUR,18.92,19.03,17.89,18.34,31552.63,579118.0987,4568
1693872000000,2023-09-05,SOLEUR,18.12,19.22,17.67,18.93,43568.37,811621.5228,5051
1693785600000,2023-09-04,SOLEUR,18.22,18.64,17.78,18.09,19310.66,350920.6648,2910
1693699200000,2023-09-03,SOLEUR,18.14,18.29,17.89,18.21,13803.71,249851.4425,2067
1693612800000,2023-09-02,SOLEUR,18.0,18.32,17.67,18.11,19563.78,354484.2551,2683
1693526400000,2023-09-01,SOLEUR,18.26,18.45,17.72,17.99,28536.3,517374.4668,4261
1693440000000,2023-08-31,SOLEUR,19.09,19.42,18.01,18.27,33864.1,632916.7291,4686
1693353600000,2023-08-30,SOLEUR,20.07,20.26,18.91,19.09,24198.68,472407.2095,3786
1693267200000,2023-08-29,SOLEUR,19.01,20.39,18.63,20.08,45164.2,889215.4225,4947
1693180800000,2023-08-28,SOLEUR,19.29,19.3,18.59,19.0,20812.26,394330.2869,2915
1693094400000,2023-08-27,SOLEUR,18.83,19.4,18.8,19.3,21756.55,416494.7766,2321
1693008000000,2023-08-26,SOLEUR,18.94,18.98,18.74,18.85,16592.4,312796.0039,2105
1692921600000,2023-08-25,SOLEUR,19.51,19.51,18.64,18.97,33905.41,646997.769,3780
1692835200000,2023-08-24,SOLEUR,20.07,20.27,19.17,19.52,45239.22,894682.3512,4000
1692748800000,2023-08-23,SOLEUR,19.04,20.14,18.88,20.05,52762.1,1028437.884,4826
