Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1722038400000,2024-07-27,BNTBTC,8.81e-06,8.85e-06,8.73e-06,8.82e-06,11603.7,0.10206871,93
1721952000000,2024-07-26,BNTBTC,8.76e-06,8.88e-06,8.74e-06,8.86e-06,6489.2,0.0571464,53
1721865600000,2024-07-25,BNTBTC,9.07e-06,9.26e-06,8.6e-06,8.72e-06,89266.0,0.8075219,546
1721779200000,2024-07-24,BNTBTC,9.48e-06,9.64e-06,9.13e-06,9.16e-06,45163.9,0.42529527,197
1721692800000,2024-07-23,BNTBTC,9.3e-06,9.61e-06,9.29e-06,9.39e-06,18713.7,0.17669578,331
1721606400000,2024-07-22,BNTBTC,9.57e-06,9.6e-06,9.24e-06,9.28e-06,13040.5,0.12307657,173
1721520000000,2024-07-21,BNTBTC,9.56e-06,1.076e-05,9.35e-06,9.55e-06,496394.5,4.81727996,1728
1721433600000,2024-07-20,BNTBTC,9.71e-06,9.94e-06,9.56e-06,9.58e-06,81000.1,0.79555475,581
1721347200000,2024-07-19,BNTBTC,9.86e-06,9.87e-06,9.62e-06,9.75e-06,27392.8,0.26599972,901
1721260800000,2024-07-18,BNTBTC,9.78e-06,9.98e-06,9.74e-06,9.86e-06,17579.3,0.17299667,265
1721174400000,2024-07-17,BNTBTC,9.73e-06,9.84e-06,9.7e-06,9.72e-06,17516.4,0.1713395,207
1721088000000,2024-07-16,BNTBTC,9.79e-06,9.93e-06,9.62e-06,9.7e-06,22452.2,0.22044662,171
1721001600000,2024-07-15,BNTBTC,9.65e-06,9.81e-06,9.48e-06,9.75e-06,22807.4,0.2196008,381
1720915200000,2024-07-14,BNTBTC,9.66e-06,9.74e-06,9.53e-06,9.65e-06,17190.9,0.1653826,182
1720828800000,2024-07-13,BNTBTC,9.77e-06,9.82e-06,9.65e-06,9.65e-06,3300.7,0.03205626,25
1720742400000,2024-07-12,BNTBTC,9.66e-06,9.77e-06,9.58e-06,9.77e-06,8333.3,0.08067944,589
1720656000000,2024-07-11,BNTBTC,9.75e-06,9.83e-06,9.62e-06,9.62e-06,9449.7,0.09161289,395
1720569600000,2024-07-10,BNTBTC,9.63e-06,9.8e-06,9.38e-06,9.75e-06,7825.8,0.07565615,241
1720483200000,2024-07-09,BNTBTC,9.69e-06,9.75e-06,9.61e-06,9.61e-06,9181.2,0.08889563,75
1720396800000,2024-07-08,BNTBTC,9.43e-06,9.79e-06,9.32e-06,9.64e-06,18645.3,0.17706952,202
1720310400000,2024-07-07,BNTBTC,9.69e-06,9.75e-06,9.4e-06,9.4e-06,16508.3,0.15847304,245
1720224000000,2024-07-06,BNTBTC,9.63e-06,9.79e-06,9.49e-06,9.72e-06,33785.3,0.32688505,328
1720137600000,2024-07-05,BNTBTC,9.5e-06,9.65e-06,9e-06,9.57e-06,65256.1,0.6127881,455
1720051200000,2024-07-04,BNTBTC,9.91e-06,9.96e-06,9.53e-06,9.58e-06,28407.9,0.27697828,199
1719964800000,2024-07-03,BNTBTC,1.008e-05,1.036e-05,9.85e-06,9.98e-06,32395.0,0.32658561,189
1719878400000,2024-07-02,BNTBTC,9.99e-06,1.019e-05,9.98e-06,1.015e-05,8191.5,0.08277123,137
1719792000000,2024-07-01,BNTBTC,1.007e-05,1.054e-05,9.99e-06,1.004e-05,49189.9,0.49835587,349
1719705600000,2024-06-30,BNTBTC,1.006e-05,1.036e-05,1.002e-05,1.007e-05,12161.3,0.12300326,233
1719619200000,2024-06-29,BNTBTC,1.028e-05,1.037e-05,1.004e-05,1.004e-05,9925.6,0.10142179,88
1719532800000,2024-06-28,BNTBTC,1.032e-05,1.05e-05,1.031e-05,1.034e-05,16217.3,0.16856615,200
1719446400000,2024-06-27,BNTBTC,1.017e-05,1.041e-05,1.007e-05,1.037e-05,12065.1,0.12457971,287
1719360000000,2024-06-26,BNTBTC,1.019e-05,1.03e-05,1.003e-05,1.022e-05,4085.5,0.04182995,130
1719273600000,2024-06-25,BNTBTC,1.023e-05,1.029e-05,1.019e-05,1.022e-05,1821.2,0.01861316,68
