Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1739664000000,2025-02-16,BTCEUR,93118.63,93265.16,91672.86,91746.31,97.01933,8980354.07497,16447
1739577600000,2025-02-15,BTCEUR,92997.59,93434.4,92728.16,93129.99,66.11427,6154666.0814696,14479
1739491200000,2025-02-14,BTCEUR,92399.97,94150.01,91762.83,92997.6,196.38829,18227927.2237063,32892
1739404800000,2025-02-13,BTCEUR,94186.28,94341.96,91355.7,92400.15,218.22013,20131902.0996952,37777
1739318400000,2025-02-12,BTCEUR,92466.36,94486.99,91183.52,94188.01,259.25513,24024216.5065041,50737
1739232000000,2025-02-11,BTCEUR,94626.84,95587.36,91513.89,92447.59,239.39904,22404218.566898,44376
1739145600000,2025-02-10,BTCEUR,93628.84,95315.57,92546.77,94626.84,240.47325,22691871.8491432,41705
1739059200000,2025-02-09,BTCEUR,93602.88,94403.4,92137.57,93630.43,190.01033,17737705.1084434,27089
1738972800000,2025-02-08,BTCEUR,93578.69,93961.53,92865.3,93602.71,107.60516,10051366.4822753,21301
1738886400000,2025-02-07,BTCEUR,93057.34,96500.0,92658.41,93584.12,336.37671,31742305.9254236,56329
1738800000000,2025-02-06,BTCEUR,92966.27,95783.7,92224.87,93061.6,322.6098,30338221.9023691,47156
1738713600000,2025-02-05,BTCEUR,94477.88,95466.0,92513.45,92966.51,260.51952,24489759.6294152,43741
1738627200000,2025-02-04,BTCEUR,98357.84,98787.87,92722.39,94474.99,419.89313,40203131.1232807,77437
1738540800000,2025-02-03,BTCEUR,95520.83,99407.88,89272.07,98355.61,1045.4553,98245750.7290255,185004
1738454400000,2025-02-02,BTCEUR,97518.51,98381.36,93500.0,95523.6,530.30728,50631220.7332308,93929
1738368000000,2025-02-01,BTCEUR,99015.03,99350.64,97175.43,97528.13,140.6079,13822526.7407441,32663
1738281600000,2025-01-31,BTCEUR,100566.53,102000.0,98003.0,99049.21,282.38361,28218543.067421,51934
1738195200000,2025-01-30,BTCEUR,99463.43,101863.73,99018.51,100562.76,237.65848,23984617.2192449,47855
1738108800000,2025-01-29,BTCEUR,97207.25,100600.0,97180.85,99446.46,336.19071,33196275.2432167,57334
1738022400000,2025-01-28,BTCEUR,97780.33,99432.08,96093.35,97210.99,356.12302,34947745.335887,58824
1737936000000,2025-01-27,BTCEUR,98073.92,98691.24,93453.68,97793.5,714.05226,68277384.1377332,111340
1737849600000,2025-01-26,BTCEUR,99937.5,100700.0,98000.0,98073.92,146.56867,14601276.4655701,27296
1737763200000,2025-01-25,BTCEUR,99947.13,100533.93,99430.0,99935.95,162.52056,16241538.2317707,28371
1737676800000,2025-01-24,BTCEUR,99857.53,101913.42,98500.78,99958.0,333.10357,33462876.3214225,57675
1737590400000,2025-01-23,BTCEUR,99674.82,102768.73,97227.24,99855.5,666.63798,66647500.3137045,116764
